Nama File,Label Asli,Hasil Prediksi Model,Algoritma,Metrik Jarak,Waktu Eksekusi (s),Silhouette Score,Akurasi (%)
Cardboard_104.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0516,0.475,100
Cardboard_105.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0746,0.5132,100
Cardboard_105.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0362,0.5111,100
Cardboard_105.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0287,0.5129,100
Cardboard_106.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0211,0.7024,100
Cardboard_106.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0149,0.7024,100
Cardboard_106.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0229,0.7021,100
Cardboard_107.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0513,0.7419,100
Cardboard_107.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0385,0.7419,100
Cardboard_107.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0181,0.7419,100
Cardboard_108.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0219,0.7011,100
Cardboard_108.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0211,0.7,100
Cardboard_108.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0194,0.7011,100
Cardboard_109.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0528,0.6757,100
Cardboard_109.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0109,0.6754,100
Cardboard_109.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0289,0.6756,100
Cardboard_11.jpg,Anorganik,Organik,K-Means,Euclidean,0.0479,0.4949,0
Cardboard_11.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0412,0.5903,100
Cardboard_11.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0522,0.5159,100
Cardboard_110.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0385,0.7597,100
Cardboard_110.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0345,0.7606,100
Cardboard_110.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0511,0.7589,100
Cardboard_111.jpg,Anorganik,Organik,K-Means,Euclidean,0.0452,0.3949,0
Cardboard_111.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0313,0.7381,100
Cardboard_111.jpg,Anorganik,Organik,K-Means,Minkowski,0.0324,0.3953,0
Cardboard_112.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0792,0.516,100
Cardboard_112.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0762,0.6465,100
Cardboard_112.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0548,0.5031,100
Cardboard_113.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0423,0.7903,100
Cardboard_113.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0211,0.7903,100
Cardboard_113.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0179,0.7903,100
Cardboard_114.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.05,0.5005,100
Cardboard_114.jpg,Anorganik,Organik,K-Means,Manhattan,0.0406,0.4957,0
Cardboard_114.jpg,Anorganik,Organik,K-Means,Minkowski,0.0442,0.5002,0
Cardboard_115.jpg,Anorganik,Organik,K-Means,Euclidean,0.0779,0.4804,0
Cardboard_115.jpg,Anorganik,Organik,K-Means,Manhattan,0.0552,0.4734,0
Cardboard_115.jpg,Anorganik,Organik,K-Means,Minkowski,0.0612,0.4795,0
Cardboard_116.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.1011,0.6333,100
Cardboard_116.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0254,0.6367,100
Cardboard_116.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0765,0.6289,100
Cardboard_117.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0563,0.7147,100
Cardboard_117.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.025,0.7172,100
Cardboard_117.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0945,0.702,100
Cardboard_118.jpg,Anorganik,Organik,K-Means,Euclidean,0.0966,0.5869,0
Cardboard_118.jpg,Anorganik,Organik,K-Means,Manhattan,0.1005,0.6227,0
Cardboard_118.jpg,Anorganik,Organik,K-Means,Minkowski,0.1157,0.5787,0
Cardboard_119.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0987,0.7169,100
Cardboard_119.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0557,0.7141,100
Cardboard_119.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.056,0.7167,100
Cardboard_12.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0691,0.5769,100
Cardboard_12.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0344,0.5705,100
Cardboard_12.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0642,0.5737,100
Cardboard_120.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0376,0.7249,100
Cardboard_120.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0291,0.7245,100
Cardboard_120.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.037,0.7246,100
Cardboard_121.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0756,0.5306,100
Cardboard_121.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0803,0.54,100
Cardboard_121.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0779,0.5271,100
Cardboard_122.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0783,0.6184,100
Cardboard_122.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0612,0.6179,100
Cardboard_122.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0917,0.6174,100
Cardboard_123.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0718,0.6383,100
Cardboard_123.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0572,0.6315,100
Cardboard_123.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0995,0.6376,100
Cardboard_124.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0277,0.7956,100
Cardboard_124.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0154,0.7956,100
Cardboard_124.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0258,0.7956,100
Cardboard_125.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0448,0.5304,100
Cardboard_125.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0519,0.5223,100
Cardboard_125.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0523,0.5295,100
Cardboard_126.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.1046,0.2874,100
Cardboard_126.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0482,0.2948,100
Cardboard_126.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0651,0.4508,100
Cardboard_127.jpg,Anorganik,Organik,K-Means,Euclidean,0.0527,0.5668,0
Cardboard_127.jpg,Anorganik,Organik,K-Means,Manhattan,0.0602,0.5634,0
Cardboard_127.jpg,Anorganik,Organik,K-Means,Minkowski,0.0465,0.5666,0
Cardboard_128.jpg,Anorganik,Organik,K-Means,Euclidean,0.0903,0.6383,0
Cardboard_128.jpg,Anorganik,Organik,K-Means,Manhattan,0.0258,0.665,0
Cardboard_128.jpg,Anorganik,Organik,K-Means,Minkowski,0.0976,0.5847,0
Cardboard_129.jpg,Anorganik,Organik,K-Means,Euclidean,0.0851,0.689,0
Cardboard_129.jpg,Anorganik,Organik,K-Means,Manhattan,0.055,0.6968,0
Cardboard_129.jpg,Anorganik,Organik,K-Means,Minkowski,0.0884,0.6824,0
Cardboard_13.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0923,0.5222,100
Cardboard_13.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0422,0.523,100
Cardboard_13.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.133,0.5184,100
Cardboard_130.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0686,0.6978,100
Cardboard_130.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0534,0.6817,100
Cardboard_130.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0862,0.701,100
Cardboard_131.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.1057,0.6335,100
Cardboard_131.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.047,0.6451,100
Cardboard_131.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0876,0.6191,100
Cardboard_132.jpg,Anorganik,Organik,K-Means,Euclidean,0.0877,0.7891,0
Cardboard_132.jpg,Anorganik,Organik,K-Means,Manhattan,0.0273,0.7906,0
Cardboard_132.jpg,Anorganik,Organik,K-Means,Minkowski,0.0308,0.7891,0
Cardboard_133.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0491,0.5623,100
Cardboard_133.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.087,0.624,100
Cardboard_133.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0456,0.5638,100
Cardboard_134.jpg,Anorganik,Organik,K-Means,Euclidean,0.0551,0.5966,0
Cardboard_134.jpg,Anorganik,Organik,K-Means,Manhattan,0.0583,0.5963,0
Cardboard_134.jpg,Anorganik,Organik,K-Means,Minkowski,0.0897,0.5966,0
Cardboard_135.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0216,0.7733,100
Cardboard_135.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0166,0.7733,100
Cardboard_135.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0181,0.7733,100
Cardboard_136.jpg,Anorganik,Organik,K-Means,Euclidean,0.0414,0.7503,0
Cardboard_136.jpg,Anorganik,Organik,K-Means,Manhattan,0.0273,0.7498,0
Cardboard_136.jpg,Anorganik,Organik,K-Means,Minkowski,0.0471,0.7497,0
Cardboard_137.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0164,0.7439,100
Cardboard_137.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0158,0.7437,100
Cardboard_137.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0244,0.7439,100
Cardboard_138.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0734,0.3832,100
Cardboard_138.jpg,Anorganik,Organik,K-Means,Manhattan,0.1046,0.7405,0
Cardboard_138.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0276,0.384,100
Cardboard_139.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0417,0.4139,100
Cardboard_139.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0369,0.4125,100
Cardboard_139.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0302,0.4102,100
Cardboard_14.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.079,0.5292,100
Cardboard_14.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0521,0.5243,100
Cardboard_14.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0515,0.5289,100
Cardboard_140.jpg,Anorganik,Organik,K-Means,Euclidean,0.0552,0.7122,0
Cardboard_140.jpg,Anorganik,Organik,K-Means,Manhattan,0.0433,0.7064,0
Cardboard_140.jpg,Anorganik,Organik,K-Means,Minkowski,0.0328,0.7145,0
Cardboard_141.jpg,Anorganik,Organik,K-Means,Euclidean,0.0506,0.7099,0
Cardboard_141.jpg,Anorganik,Organik,K-Means,Manhattan,0.0264,0.7099,0
Cardboard_141.jpg,Anorganik,Organik,K-Means,Minkowski,0.0293,0.7093,0
Cardboard_142.jpg,Anorganik,Organik,K-Means,Euclidean,0.0721,0.7241,0
Cardboard_142.jpg,Anorganik,Organik,K-Means,Manhattan,0.0486,0.7169,0
Cardboard_142.jpg,Anorganik,Organik,K-Means,Minkowski,0.0467,0.7247,0
Cardboard_143.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0626,0.4687,100
Cardboard_143.jpg,Anorganik,Organik,K-Means,Manhattan,0.0639,0.4437,0
Cardboard_143.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0294,0.4675,100
Cardboard_144.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0488,0.719,100
Cardboard_144.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0288,0.7189,100
Cardboard_144.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0394,0.7192,100
Cardboard_145.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0974,0.5579,100
Cardboard_145.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0549,0.5787,100
Cardboard_145.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0664,0.5492,100
Cardboard_146.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0209,0.7728,100
Cardboard_146.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0161,0.7728,100
Cardboard_146.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0191,0.7728,100
Cardboard_147.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0771,0.6504,100
Cardboard_147.jpg,Anorganik,Organik,K-Means,Manhattan,0.0451,0.6691,0
Cardboard_147.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.1016,0.6225,100
Cardboard_148.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.105,0.5303,100
Cardboard_148.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0611,0.5542,100
Cardboard_148.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0842,0.5257,100
Cardboard_149.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.1079,0.5647,100
Cardboard_149.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0848,0.5671,100
Cardboard_149.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0747,0.5612,100
Cardboard_15.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.092,0.6951,100
Cardboard_15.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0671,0.6945,100
Cardboard_15.jpg,Anorganik,Organik,K-Means,Minkowski,0.1314,0.6785,0
Cardboard_150.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0274,0.7165,100
Cardboard_150.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0348,0.7152,100
Cardboard_150.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0353,0.7165,100
Cardboard_151.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0396,0.7056,100
Cardboard_151.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0399,0.7032,100
Cardboard_151.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0361,0.7056,100
Cardboard_152.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0567,0.7499,100
Cardboard_152.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0319,0.7497,100
Cardboard_152.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0468,0.7498,100
Cardboard_153.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0302,0.7297,100
Cardboard_153.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0293,0.7295,100
Cardboard_153.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0291,0.7298,100
Cardboard_154.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0393,0.7382,100
Cardboard_154.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0343,0.7374,100
Cardboard_154.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.041,0.7382,100
Cardboard_155.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.026,0.7532,100
Cardboard_155.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0172,0.7532,100
Cardboard_155.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0308,0.7532,100
Cardboard_156.jpg,Anorganik,Organik,K-Means,Euclidean,0.0546,0.7879,0
Cardboard_156.jpg,Anorganik,Organik,K-Means,Manhattan,0.0298,0.7862,0
Cardboard_156.jpg,Anorganik,Organik,K-Means,Minkowski,0.0288,0.7878,0
Cardboard_157.jpg,Anorganik,Organik,K-Means,Euclidean,0.0292,0.7364,0
Cardboard_157.jpg,Anorganik,Organik,K-Means,Manhattan,0.0259,0.736,0
Cardboard_157.jpg,Anorganik,Organik,K-Means,Minkowski,0.0301,0.7364,0
Cardboard_158.jpg,Anorganik,Organik,K-Means,Euclidean,0.0317,0.7889,0
Cardboard_158.jpg,Anorganik,Organik,K-Means,Manhattan,0.0317,0.7901,0
Cardboard_158.jpg,Anorganik,Organik,K-Means,Minkowski,0.0411,0.7889,0
Cardboard_159.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0589,0.5136,100
Cardboard_159.jpg,Anorganik,Organik,K-Means,Manhattan,0.0159,0.5611,0
Cardboard_159.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0449,0.5121,100
Cardboard_16.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0415,0.6668,100
Cardboard_16.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0474,0.6733,100
Cardboard_16.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0366,0.6577,100
Cardboard_160.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0744,0.6398,100
Cardboard_160.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0569,0.6434,100
Cardboard_160.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0598,0.6398,100
Cardboard_161.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0823,0.5688,100
Cardboard_161.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0903,0.5924,100
Cardboard_161.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0884,0.5633,100
Cardboard_162.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0441,0.7985,100
Cardboard_162.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.016,0.7985,100
Cardboard_162.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0195,0.7985,100
Cardboard_163.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0512,0.7429,100
Cardboard_163.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0168,0.7424,100
Cardboard_163.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0187,0.7429,100
Cardboard_164.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0628,0.5037,100
Cardboard_164.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0615,0.5015,100
Cardboard_164.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0498,0.5019,100
Cardboard_165.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.064,0.6923,100
Cardboard_165.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0302,0.6885,100
Cardboard_165.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0518,0.6918,100
Cardboard_166.jpg,Anorganik,Organik,K-Means,Euclidean,0.0226,0.6999,0
Cardboard_166.jpg,Anorganik,Organik,K-Means,Manhattan,0.0208,0.7032,0
Cardboard_166.jpg,Anorganik,Organik,K-Means,Minkowski,0.0303,0.6966,0
Cardboard_167.jpg,Anorganik,Organik,K-Means,Euclidean,0.0795,0.7699,0
Cardboard_167.jpg,Anorganik,Organik,K-Means,Manhattan,0.0557,0.7732,0
Cardboard_167.jpg,Anorganik,Organik,K-Means,Minkowski,0.1346,0.7612,0
Cardboard_168.jpg,Anorganik,Organik,K-Means,Euclidean,0.0365,0.6417,0
Cardboard_168.jpg,Anorganik,Organik,K-Means,Manhattan,0.0846,0.6362,0
Cardboard_168.jpg,Anorganik,Organik,K-Means,Minkowski,0.0487,0.6432,0
Cardboard_169.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0308,0.7677,100
Cardboard_169.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0385,0.7677,100
Cardboard_169.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0396,0.767,100
Cardboard_17.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0787,0.8248,100
Cardboard_17.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0261,0.8248,100
Cardboard_17.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0457,0.8248,100
Cardboard_170.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0164,0.7348,100
Cardboard_170.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0164,0.7345,100
Cardboard_170.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.018,0.7348,100
Cardboard_171.jpg,Anorganik,Organik,K-Means,Euclidean,0.0602,0.6633,0
Cardboard_171.jpg,Anorganik,Organik,K-Means,Manhattan,0.0343,0.6632,0
Cardboard_171.jpg,Anorganik,Organik,K-Means,Minkowski,0.0394,0.6637,0
Cardboard_172.jpg,Anorganik,Organik,K-Means,Euclidean,0.0814,0.5069,0
Cardboard_172.jpg,Anorganik,Organik,K-Means,Manhattan,0.0398,0.5086,0
Cardboard_172.jpg,Anorganik,Organik,K-Means,Minkowski,0.0501,0.5001,0
Cardboard_173.jpg,Anorganik,Organik,K-Means,Euclidean,0.0727,0.5262,0
Cardboard_173.jpg,Anorganik,Organik,K-Means,Manhattan,0.0466,0.5194,0
Cardboard_173.jpg,Anorganik,Organik,K-Means,Minkowski,0.051,0.5231,0
Cardboard_174.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0831,0.5697,100
Cardboard_174.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0646,0.5654,100
Cardboard_174.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0752,0.5665,100
Cardboard_175.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0616,0.5671,100
Cardboard_175.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0635,0.5663,100
Cardboard_175.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0652,0.5661,100
Cardboard_176.jpg,Anorganik,Organik,K-Means,Euclidean,0.1409,0.7546,0
Cardboard_176.jpg,Anorganik,Organik,K-Means,Manhattan,0.0612,0.7474,0
Cardboard_176.jpg,Anorganik,Organik,K-Means,Minkowski,0.1372,0.5899,0
Cardboard_177.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0861,0.4215,100
Cardboard_177.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0265,0.422,100
Cardboard_177.jpg,Anorganik,Organik,K-Means,Minkowski,0.0689,0.4215,0
Cardboard_178.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.1248,0.6526,100
Cardboard_178.jpg,Anorganik,Organik,K-Means,Manhattan,0.0884,0.5811,0
Cardboard_178.jpg,Anorganik,Organik,K-Means,Minkowski,0.1261,0.5634,0
Cardboard_179.jpg,Anorganik,Organik,K-Means,Euclidean,0.0841,0.4199,0
Cardboard_179.jpg,Anorganik,Organik,K-Means,Manhattan,0.0774,0.4156,0
Cardboard_179.jpg,Anorganik,Organik,K-Means,Minkowski,0.131,0.5117,0
Cardboard_18.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0507,0.7887,100
Cardboard_18.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0539,0.7888,100
Cardboard_18.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0378,0.7885,100
Cardboard_180.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0723,0.6058,100
Cardboard_180.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0711,0.6055,100
Cardboard_180.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0788,0.6048,100
Cardboard_181.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0631,0.7431,100
Cardboard_181.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0453,0.7437,100
Cardboard_181.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0597,0.526,100
Cardboard_182.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0794,0.6113,100
Cardboard_182.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0391,0.6139,100
Cardboard_182.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0431,0.5848,100
Cardboard_183.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0523,0.6766,100
Cardboard_183.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0205,0.6754,100
Cardboard_183.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0358,0.6754,100
Cardboard_184.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0457,0.6955,100
Cardboard_184.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0282,0.6953,100
Cardboard_184.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0335,0.6955,100
Cardboard_185.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0969,0.5301,100
Cardboard_185.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.1778,0.5092,100
Cardboard_185.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0831,0.5292,100
Cardboard_186.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0468,0.5879,100
Cardboard_186.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0418,0.5799,100
Cardboard_186.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0593,0.5864,100
Cardboard_187.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0597,0.6029,100
Cardboard_187.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0303,0.614,100
Cardboard_187.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0852,0.5978,100
Cardboard_188.jpg,Anorganik,Anorganik,K-Means,Euclidean,0.0869,0.5591,100
Cardboard_188.jpg,Anorganik,Anorganik,K-Means,Manhattan,0.0365,0.5561,100
Cardboard_188.jpg,Anorganik,Anorganik,K-Means,Minkowski,0.0427,0.5564,100
Cardboard_189.jpg,Anorganik,Organik,K-Means,Euclidean,0.0603,0.6715,0
Cardboard_189.jpg,Anorganik,Organik,K-Means,Manhattan,0.0361,0.6694,0
